Date,index
2025-02-02,45.4
2025-02-09,37.2
2025-02-16,41.2
2025-02-23,46.4
2025-03-02,46.6
2025-03-09,38
2025-03-16,31.8
2025-03-23,29.6
2025-03-30,30.6
2025-04-06,34.8
2025-04-13,27
2025-04-20,29.2
2025-04-27,26.8
2025-05-04,29.2
2025-05-11,32.8
2025-05-18,33.2
2025-05-25,30.4
2025-06-01,27.8
2025-06-08,28.8
2025-06-15,26.2
2025-06-22,27
2025-06-29,25.6
2025-07-06,31.8
2025-07-13,42.4
2025-07-20,40
2025-07-27,39.6
2025-08-03,54.8
2025-08-10,97.2
2025-08-17,89.8
2025-08-24,71
2025-08-31,57.6
2025-09-07,60
2025-09-14,58
2025-09-21,59
2025-09-28,58.6
2025-10-05,64.2
2025-10-12,62
2025-10-19,51.2
2025-10-26,45
2025-11-02,49.4
2025-11-09,47.6
2025-11-16,58.2
2025-11-23,52.8
2025-11-30,52.2
2025-12-07,40
2025-12-14,41.8
2025-12-21,33.8
2025-12-28,33
2026-01-04,35.4
2026-01-11,36
2026-01-18,27.4
2026-01-25,26.4
